city,country,lat,lng,date,temp,humidity,cloudiness,wind_speed
Bandarbeyla,SO,9.49,50.81,1583821196,77.2,72,19,13.94
Bereslavka,RU,48.63,44.04,1583821196,33.8,100,90,17.9
Devils Lake,US,48.11,-98.87,1583821196,21.92,79,90,4.7
Avarua,CK,-21.21,-159.78,1583821196,77.0,88,100,2.24
Udachny,RU,66.42,112.4,1583821196,-18.4,68,98,6.71
Namatanai,PG,-3.67,152.43,1583821197,83.5,78,100,14.54
Saint Paul Harbor,US,57.79,-152.41,1583821197,32.0,79,1,14.83
Codrington,AU,-38.27,141.97,1583821197,61.36,80,0,18.77
Whyalla,AU,-33.03,137.58,1583821197,82.4,30,0,12.75
Okhotsk,RU,59.38,143.3,1583821197,3.22,79,48,5.61
Tasiilaq,GL,65.61,-37.64,1583821197,15.8,43,100,22.64
Avera,US,33.19,-82.53,1583821197,59.27,77,75,4.7
Pevek,RU,69.7,170.31,1583821197,-15.5,97,98,5.86
Youkounkoun,GN,12.53,-13.13,1583821198,68.92,81,82,4.14
Belaya Gora,RU,68.53,146.42,1583821198,-18.2,92,39,2.06
Olafsvik,IS,64.89,-23.71,1583821198,29.86,68,100,27.72
Kamenka,RU,51.32,42.77,1583821198,46.53,84,88,4.0
Meulaboh,ID,4.14,96.13,1583821198,84.4,72,99,7.96
Tiksi,RU,71.69,128.87,1583821198,-26.48,83,63,2.71
Port Hardy,CA,50.7,-127.42,1583821198,39.2,64,90,8.05
Leningradskiy,RU,69.38,178.42,1583821198,-11.54,87,100,4.54
Talnakh,RU,69.49,88.4,1583821198,-11.2,63,7,13.42
Matagami,CA,49.75,-77.63,1583821199,15.8,92,90,3.36
Tura,IN,25.52,90.22,1583821199,86.2,22,0,4.5
Port Macquarie,AU,-31.43,152.92,1583821146,66.47,93,75,9.17
Nouadhibou,MR,20.93,-17.03,1583821199,70.72,42,0,17.81
Dumas,US,35.87,-101.97,1583821199,48.45,70,1,12.75
Faanui,PF,-16.48,-151.75,1583821199,83.14,75,94,10.0
Iracoubo,GF,5.48,-53.2,1583821199,78.82,75,86,16.51
Sisimiut,GL,66.94,-53.67,1583821200,-3.08,93,74,6.8
Margate,GB,51.38,1.39,1583821200,52.03,87,75,20.8
Black River,JM,18.03,-77.85,1583821200,76.59,78,75,16.11
Pismo Beach,US,35.14,-120.64,1583821200,54.34,87,1,4.29
Grindavik,IS,63.84,-22.43,1583821200,32.0,54,100,18.34
Olinda,BR,-8.01,-34.86,1583821200,77.0,83,52,3.36
Sulangan,PH,11.14,123.72,1583821200,80.8,73,0,7.25
Mahébourg,MU,-20.41,57.7,1583821200,80.67,78,75,18.34
Tadine,NC,-21.55,167.88,1583821200,79.54,75,45,10.69
Big Bend,SZ,-26.82,31.93,1583821201,68.0,88,4,2.93
Mahesāna,IN,23.6,72.4,1583821201,77.0,57,40,9.17
Tessalit,ML,20.2,1.01,1583821201,58.48,15,74,9.55
Gizo Government Station,SB,-8.1,156.84,1583821201,78.64,87,100,10.8
Kuytun,RU,54.34,101.5,1583821201,24.46,89,100,11.52
Ostrovnoy,RU,68.05,39.51,1583821201,34.36,85,85,29.53
Yulara,AU,-25.24,130.99,1583821201,98.6,11,0,8.05
Mount Gambier,AU,-37.83,140.77,1583821201,77.0,27,0,8.05
Fortuna,US,40.6,-124.16,1583821202,42.04,93,1,1.39
Rabo de Peixe,PT,37.8,-25.58,1583821202,60.8,67,75,10.29
Priiskovyy,RU,51.93,116.63,1583821202,19.42,83,0,8.23
Fare,PF,-16.7,-151.02,1583821202,83.14,74,93,9.06
Koslan,RU,63.46,48.9,1583821202,28.96,93,100,10.09
Salinópolis,BR,-0.61,-47.36,1583821202,77.2,83,100,3.13
Camalú,MX,30.85,-116.07,1583821202,58.84,77,100,0.76
Clyde River,CA,70.47,-68.59,1583821202,-34.6,73,1,2.24
Bathsheba,BB,13.22,-59.52,1583821203,77.0,78,75,17.22
Sittwe,MM,20.15,92.9,1583821203,79.54,51,0,16.35
Nagorsk,RU,59.32,50.81,1583821203,30.4,91,68,6.44
Berdigestyakh,RU,62.1,126.7,1583821203,11.32,90,100,7.09
Sept-Îles,CA,50.2,-66.38,1583821262,5.0,34,75,9.17
Antofagasta,CL,-23.65,-70.4,1583821262,64.4,88,78,2.24
Batagay-Alyta,RU,67.8,130.41,1583821262,-20.36,93,100,4.43
Mmabatho,ZA,-25.85,25.63,1583821262,69.8,49,0,12.75
Iskateley,RU,67.68,53.15,1583821263,34.36,99,100,19.66
Mareeba,AU,-17.0,145.43,1583821263,76.82,94,75,2.24
Chui,UY,-33.7,-53.46,1583821263,66.04,92,1,7.72
Pangnirtung,CA,66.15,-65.71,1583821263,-30.62,96,100,2.55
Develi,TR,38.39,35.49,1583821263,59.0,41,40,17.22
Dzilam González,MX,21.28,-88.93,1583821263,74.14,72,44,17.92
La Ronge,CA,55.1,-105.28,1583821263,-9.4,76,5,4.7
Waingapu,ID,-9.66,120.26,1583821263,83.5,69,88,1.25
Ulladulla,AU,-35.35,150.47,1583821264,69.91,60,40,10.29
Boende,CD,-0.22,20.87,1583821264,72.16,93,99,3.36
Wanning,CN,18.8,110.4,1583821264,79.9,78,1,15.3
Bosobolo,CD,4.18,19.9,1583821264,76.84,68,73,4.16
Saint Andrews,US,34.05,-81.13,1583821264,57.88,72,90,5.82
Kolondiéba,ML,11.09,-6.89,1583821264,71.44,16,100,2.62
Oodweyne,SO,9.41,45.06,1583821264,73.78,56,6,5.28
Varkaus,FI,62.32,27.87,1583821264,34.84,93,90,10.29
Klyavlino,RU,54.26,52.03,1583821265,34.54,100,100,1.9
Salinas,US,36.68,-121.66,1583821207,54.93,76,90,4.43
Severo-Kuril'sk,RU,50.68,156.12,1583821265,25.36,84,100,11.32
Arman',RU,59.7,150.17,1583821265,8.62,91,84,9.62
Puerto Colombia,CO,10.99,-74.95,1583821265,78.8,78,0,13.87
Ponta do Sol,PT,32.67,-17.1,1583821265,59.36,77,20,9.17
Arrondissement de Blois,FR,47.58,1.33,1583821265,49.57,93,90,10.29
Vyartsilya,RU,62.18,30.69,1583821265,35.62,97,100,7.87
Bima,ID,-8.47,118.72,1583821266,82.24,84,82,5.03
Cayenne,GF,4.93,-52.33,1583821266,78.8,74,75,8.05
Wanaka,NZ,-44.7,169.15,1583821266,57.0,82,89,2.82
Sechura,PE,-5.56,-80.82,1583821266,76.48,84,68,7.78
Zhigansk,RU,66.77,123.37,1583821266,-16.94,91,100,16.93
Caucayá,CO,-0.19,-74.78,1583821266,73.6,91,37,1.9
La Rioja,ES,42.25,-2.5,1583821266,44.6,81,63,3.36
Dunedin,NZ,-45.87,170.5,1583821267,52.48,89,100,1.01
Ilulissat,GL,69.22,-51.1,1583821267,12.2,61,60,24.16
Lac du Bonnet,CA,50.25,-96.06,1583821267,9.0,87,13,3.09
Moramanga,MG,-18.93,48.2,1583821267,67.48,91,87,7.58
Nova Olímpia,BR,-14.8,-57.29,1583821267,71.8,92,85,0.81
Tuatapere,NZ,-46.13,167.68,1583821267,52.0,78,100,8.01
Belyy Yar,RU,53.6,91.39,1583821267,30.2,68,100,17.78
Clonakilty,IE,51.62,-8.87,1583821267,52.3,93,75,20.8
Koumac,NC,-20.57,164.28,1583821267,80.26,72,70,3.09
